user_id,sequence,sequence_length,support_count,last_time,transition_confidence,sequence_score,next_action_candidate
user_000062,大样本链路_0010_步骤1 -> 大样本链路_0010_步骤2 -> 大样本链路_0010_步骤3 -> 大样本链路_0010_步骤4,4,3,2026-06-15 09:30:00,1.0,1.08929,大样本链路_0010_步骤4
user_000063,大样本链路_0704_步骤1 -> 大样本链路_0704_步骤2,2,4,2026-06-25 08:30:00,1.0,1.355753,大样本链路_0704_步骤2
user_000063,大样本链路_0104_步骤1 -> 大样本链路_0104_步骤2,2,4,2026-06-20 08:30:00,1.0,1.14762,大样本链路_0104_步骤2
user_000064,大样本链路_0727_步骤1 -> 大样本链路_0727_步骤2 -> 大样本链路_0727_步骤3 -> 大样本链路_0727_步骤4 -> 大样本链路_0727_步骤5,5,3,2026-06-24 09:56:00,1.0,1.471273,大样本链路_0727_步骤5
user_000064,大样本链路_0127_步骤1 -> 大样本链路_0127_步骤2 -> 大样本链路_0127_步骤3 -> 大样本链路_0127_步骤4 -> 大样本链路_0127_步骤5,5,3,2026-06-19 09:56:00,1.0,1.245406,大样本链路_0127_步骤5
user_000067,查看理财产品 -> 查看基金净值 -> 银行卡管理,3,2,2026-06-21 11:11:00,0.666667,0.65036,银行卡管理
user_000069,大样本链路_0254_步骤1 -> 大样本链路_0254_步骤2 -> 大样本链路_0254_步骤3 -> 大样本链路_0254_步骤4,4,3,2026-06-24 09:30:00,1.0,1.470388,大样本链路_0254_步骤4
user_000069,大样本链路_0854_步骤1 -> 大样本链路_0854_步骤2 -> 大样本链路_0854_步骤3 -> 大样本链路_0854_步骤4,4,3,2026-06-18 09:30:00,1.0,1.203852,大样本链路_0854_步骤4
user_000070,大样本链路_0979_步骤1 -> 大样本链路_0979_步骤2 -> 大样本链路_0979_步骤3 -> 大样本链路_0979_步骤4 -> 大样本链路_0979_步骤5,5,3,2026-06-25 09:56:00,1.0,1.521142,大样本链路_0979_步骤5
user_000070,大样本链路_0379_步骤1 -> 大样本链路_0379_步骤2 -> 大样本链路_0379_步骤3 -> 大样本链路_0379_步骤4 -> 大样本链路_0379_步骤5,5,2,2026-06-06 09:56:00,1.0,0.63989,大样本链路_0379_步骤5
user_000077,大样本链路_0795_步骤1 -> 大样本链路_0795_步骤2 -> 大样本链路_0795_步骤3 -> 大样本链路_0795_步骤4 -> 大样本链路_0795_步骤5,5,3,2026-06-22 09:56:00,1.0,1.376386,大样本链路_0795_步骤5
user_000077,大样本链路_0195_步骤1 -> 大样本链路_0195_步骤2 -> 大样本链路_0195_步骤3 -> 大样本链路_0195_步骤4 -> 大样本链路_0195_步骤5,5,3,2026-06-17 09:56:00,1.0,1.165086,大样本链路_0195_步骤5
user_000096,大样本链路_0993_步骤1 -> 大样本链路_0993_步骤2 -> 大样本链路_0993_步骤3,3,3,2026-06-22 08:58:00,1.0,1.268806,大样本链路_0993_步骤3
user_000096,大样本链路_0393_步骤1 -> 大样本链路_0393_步骤2 -> 大样本链路_0393_步骤3,3,3,2026-06-17 08:58:00,1.0,1.074021,大样本链路_0393_步骤3
user_000100,大样本链路_0510_步骤1 -> 大样本链路_0510_步骤2 -> 大样本链路_0510_步骤3 -> 大样本链路_0510_步骤4,4,3,2026-06-21 09:30:00,1.0,1.330462,大样本链路_0510_步骤4
user_000100,大样本链路_1110_步骤1 -> 大样本链路_1110_步骤2 -> 大样本链路_1110_步骤3 -> 大样本链路_1110_步骤4,4,3,2026-06-15 09:30:00,1.0,1.08929,大样本链路_1110_步骤4
user_000103,查银行卡 -> 预约网点取号,2,3,2026-06-28 23:24:00,0.75,0.988189,预约网点取号
user_000103,查交易结果 -> 跨行转入 -> 买黄金,3,2,2026-06-01 06:45:00,1.0,0.497784,买黄金
user_000104,大样本链路_0177_步骤1 -> 大样本链路_0177_步骤2 -> 大样本链路_0177_步骤3,3,3,2026-06-24 08:58:00,1.0,1.356276,大样本链路_0177_步骤3
user_000104,大样本链路_0777_步骤1 -> 大样本链路_0777_步骤2 -> 大样本链路_0777_步骤3,3,3,2026-06-18 08:58:00,1.0,1.110425,大样本链路_0777_步骤3
user_000105,查看理财产品 -> 查还款结果 -> 跨行转入,3,2,2026-06-22 04:39:00,1.0,0.999495,跨行转入
user_000111,大样本链路_0891_步骤1 -> 大样本链路_0891_步骤2 -> 大样本链路_0891_步骤3 -> 大样本链路_0891_步骤4 -> 大样本链路_0891_步骤5,5,3,2026-06-25 09:56:00,1.0,1.521142,大样本链路_0891_步骤5
user_000111,大样本链路_0291_步骤1 -> 大样本链路_0291_步骤2 -> 大样本链路_0291_步骤3 -> 大样本链路_0291_步骤4 -> 大样本链路_0291_步骤5,5,3,2026-06-20 09:56:00,1.0,1.287619,大样本链路_0291_步骤5
user_000113,银行卡管理 -> 收款码 -> 查账户明细,3,2,2026-04-06 07:41:00,0.666667,0.051384,查账户明细
user_000122,大样本链路_0839_步骤1 -> 大样本链路_0839_步骤2 -> 大样本链路_0839_步骤3 -> 大样本链路_0839_步骤4 -> 大样本链路_0839_步骤5,5,3,2026-06-22 09:56:00,1.0,1.376386,大样本链路_0839_步骤5
user_000122,大样本链路_0239_步骤1 -> 大样本链路_0239_步骤2 -> 大样本链路_0239_步骤3 -> 大样本链路_0239_步骤4 -> 大样本链路_0239_步骤5,5,3,2026-06-17 09:56:00,1.0,1.165086,大样本链路_0239_步骤5
user_000124,大样本链路_0693_步骤1 -> 大样本链路_0693_步骤2 -> 大样本链路_0693_步骤3,3,3,2026-06-25 08:58:00,1.0,1.402247,大样本链路_0693_步骤3
user_000124,大样本链路_0093_步骤1 -> 大样本链路_0093_步骤2 -> 大样本链路_0093_步骤3,3,3,2026-06-20 08:58:00,1.0,1.186977,大样本链路_0093_步骤3
user_000124,快捷支付 -> 风险评估 -> 预约网点取号,3,2,2026-06-26 07:41:00,1.0,1.146875,预约网点取号
user_000129,大样本链路_0792_步骤1 -> 大样本链路_0792_步骤2,2,4,2026-06-25 08:30:00,1.0,1.355753,大样本链路_0792_步骤2
user_000129,大样本链路_0192_步骤1 -> 大样本链路_0192_步骤2,2,4,2026-06-20 08:30:00,1.0,1.14762,大样本链路_0192_步骤2
user_000130,大样本链路_0484_步骤1 -> 大样本链路_0484_步骤2,2,4,2026-06-25 08:30:00,1.0,1.355753,大样本链路_0484_步骤2
user_000130,大样本链路_1084_步骤1 -> 大样本链路_1084_步骤2,2,4,2026-06-19 08:30:00,1.0,1.109997,大样本链路_1084_步骤2
user_000133,结构性存款 -> 短信验证 -> 跨行转入,3,2,2026-06-28 04:49:00,0.666667,0.814045,跨行转入
user_000134,大样本链路_1078_步骤1 -> 大样本链路_1078_步骤2 -> 大样本链路_1078_步骤3 -> 大样本链路_1078_步骤4,4,3,2026-06-25 09:30:00,1.0,1.520227,大样本链路_1078_步骤4
user_000134,大样本链路_0478_步骤1 -> 大样本链路_0478_步骤2 -> 大样本链路_0478_步骤3 -> 大样本链路_0478_步骤4,4,3,2026-06-20 09:30:00,1.0,1.286844,大样本链路_0478_步骤4
user_000136,大样本链路_0694_步骤1 -> 大样本链路_0694_步骤2 -> 大样本链路_0694_步骤3 -> 大样本链路_0694_步骤4,4,3,2026-06-24 09:30:00,1.0,1.470388,大样本链路_0694_步骤4
user_000136,大样本链路_0094_步骤1 -> 大样本链路_0094_步骤2 -> 大样本链路_0094_步骤3 -> 大样本链路_0094_步骤4,4,3,2026-06-19 09:30:00,1.0,1.244657,大样本链路_0094_步骤4
user_000141,大样本链路_0925_步骤1 -> 大样本链路_0925_步骤2 -> 大样本链路_0925_步骤3,3,3,2026-06-24 08:58:00,1.0,1.356276,大样本链路_0925_步骤3
user_000141,大样本链路_0325_步骤1 -> 大样本链路_0325_步骤2 -> 大样本链路_0325_步骤3,3,3,2026-06-19 08:58:00,1.0,1.148063,大样本链路_0325_步骤3
user_000146,大样本链路_0496_步骤1 -> 大样本链路_0496_步骤2,2,4,2026-06-24 08:30:00,1.0,1.311306,大样本链路_0496_步骤2
user_000146,大样本链路_1096_步骤1 -> 大样本链路_1096_步骤2,2,4,2026-06-18 08:30:00,1.0,1.073607,大样本链路_1096_步骤2
user_000147,大样本链路_0033_步骤1 -> 大样本链路_0033_步骤2 -> 大样本链路_0033_步骤3,3,3,2026-06-25 08:58:00,1.0,1.402247,大样本链路_0033_步骤3
user_000147,大样本链路_0633_步骤1 -> 大样本链路_0633_步骤2 -> 大样本链路_0633_步骤3,3,3,2026-06-19 08:58:00,1.0,1.148063,大样本链路_0633_步骤3
user_000149,大样本链路_1101_步骤1 -> 大样本链路_1101_步骤2 -> 大样本链路_1101_步骤3,3,3,2026-06-24 08:58:00,1.0,1.356276,大样本链路_1101_步骤3
user_000149,大样本链路_0501_步骤1 -> 大样本链路_0501_步骤2 -> 大样本链路_0501_步骤3,3,2,2026-06-19 08:58:00,0.666667,0.606546,大样本链路_0501_步骤3
user_000150,大样本链路_0015_步骤1 -> 大样本链路_0015_步骤2 -> 大样本链路_0015_步骤3 -> 大样本链路_0015_步骤4 -> 大样本链路_0015_步骤5,5,3,2026-06-21 09:56:00,1.0,1.331263,大样本链路_0015_步骤5
user_000150,大样本链路_0615_步骤1 -> 大样本链路_0615_步骤2 -> 大样本链路_0615_步骤3 -> 大样本链路_0615_步骤4 -> 大样本链路_0615_步骤5,5,3,2026-06-15 09:56:00,1.0,1.089946,大样本链路_0615_步骤5
user_000163,大样本链路_0210_步骤1 -> 大样本链路_0210_步骤2 -> 大样本链路_0210_步骤3 -> 大样本链路_0210_步骤4,4,3,2026-06-24 09:30:00,1.0,1.470388,大样本链路_0210_步骤4
user_000163,大样本链路_0810_步骤1 -> 大样本链路_0810_步骤2 -> 大样本链路_0810_步骤3 -> 大样本链路_0810_步骤4,4,3,2026-06-18 09:30:00,1.0,1.203852,大样本链路_0810_步骤4
user_000164,大样本链路_1071_步骤1 -> 大样本链路_1071_步骤2 -> 大样本链路_1071_步骤3 -> 大样本链路_1071_步骤4 -> 大样本链路_1071_步骤5,5,3,2026-06-21 09:56:00,1.0,1.331263,大样本链路_1071_步骤5
user_000164,大样本链路_0471_步骤1 -> 大样本链路_0471_步骤2 -> 大样本链路_0471_步骤3 -> 大样本链路_0471_步骤4 -> 大样本链路_0471_步骤5,5,3,2026-06-16 09:56:00,1.0,1.12689,大样本链路_0471_步骤5
user_000167,大样本链路_0639_步骤1 -> 大样本链路_0639_步骤2 -> 大样本链路_0639_步骤3 -> 大样本链路_0639_步骤4 -> 大样本链路_0639_步骤5,5,3,2026-06-24 09:56:00,1.0,1.471273,大样本链路_0639_步骤5
user_000167,大样本链路_0039_步骤1 -> 大样本链路_0039_步骤2 -> 大样本链路_0039_步骤3 -> 大样本链路_0039_步骤4 -> 大样本链路_0039_步骤5,5,3,2026-06-19 09:56:00,1.0,1.245406,大样本链路_0039_步骤5
user_000171,大样本链路_0553_步骤1 -> 大样本链路_0553_步骤2 -> 大样本链路_0553_步骤3,3,3,2026-06-22 08:58:00,1.0,1.268806,大样本链路_0553_步骤3
user_000171,大样本链路_1153_步骤1 -> 大样本链路_1153_步骤2 -> 大样本链路_1153_步骤3,3,3,2026-06-16 08:58:00,1.0,1.03881,大样本链路_1153_步骤3
user_000172,大样本链路_0067_步骤1 -> 大样本链路_0067_步骤2 -> 大样本链路_0067_步骤3 -> 大样本链路_0067_步骤4 -> 大样本链路_0067_步骤5,5,3,2026-06-24 09:56:00,1.0,1.471273,大样本链路_0067_步骤5
user_000172,大样本链路_0667_步骤1 -> 大样本链路_0667_步骤2 -> 大样本链路_0667_步骤3 -> 大样本链路_0667_步骤4 -> 大样本链路_0667_步骤5,5,3,2026-06-18 09:56:00,1.0,1.204577,大样本链路_0667_步骤5
user_000181,大样本链路_0961_步骤1 -> 大样本链路_0961_步骤2 -> 大样本链路_0961_步骤3,3,3,2026-06-21 08:58:00,1.0,1.227209,大样本链路_0961_步骤3
user_000181,大样本链路_0361_步骤1 -> 大样本链路_0361_步骤2 -> 大样本链路_0361_步骤3,3,3,2026-06-16 08:58:00,1.0,1.03881,大样本链路_0361_步骤3
user_000183,大样本链路_0962_步骤1 -> 大样本链路_0962_步骤2 -> 大样本链路_0962_步骤3 -> 大样本链路_0962_步骤4,4,3,2026-06-20 09:30:00,1.0,1.286844,大样本链路_0962_步骤4
user_000183,大样本链路_0362_步骤1 -> 大样本链路_0362_步骤2 -> 大样本链路_0362_步骤3 -> 大样本链路_0362_步骤4,4,2,2026-06-15 09:30:00,1.0,0.863242,大样本链路_0362_步骤4
user_000184,大样本链路_1157_步骤1 -> 大样本链路_1157_步骤2 -> 大样本链路_1157_步骤3,3,3,2026-06-23 08:58:00,1.0,1.311812,大样本链路_1157_步骤3
user_000184,大样本链路_0557_步骤1 -> 大样本链路_0557_步骤2 -> 大样本链路_0557_步骤3,3,3,2026-06-18 08:58:00,1.0,1.110425,大样本链路_0557_步骤3
user_000192,大样本链路_0936_步骤1 -> 大样本链路_0936_步骤2,2,4,2026-06-24 08:30:00,1.0,1.311306,大样本链路_0936_步骤2
user_000192,大样本链路_0336_步骤1 -> 大样本链路_0336_步骤2,2,4,2026-06-19 08:30:00,1.0,1.109997,大样本链路_0336_步骤2
user_000194,添加银行卡 -> 风险评估 -> 短信验证,3,2,2026-06-04 18:52:00,1.0,0.559473,短信验证
user_000197,大样本链路_0011_步骤1 -> 大样本链路_0011_步骤2 -> 大样本链路_0011_步骤3 -> 大样本链路_0011_步骤4 -> 大样本链路_0011_步骤5,5,3,2026-06-25 09:56:00,1.0,1.521142,大样本链路_0011_步骤5
user_000197,大样本链路_0611_步骤1 -> 大样本链路_0611_步骤2 -> 大样本链路_0611_步骤3 -> 大样本链路_0611_步骤4 -> 大样本链路_0611_步骤5,5,3,2026-06-19 09:56:00,1.0,1.245406,大样本链路_0611_步骤5
user_000199,大样本链路_0567_步骤1 -> 大样本链路_0567_步骤2 -> 大样本链路_0567_步骤3 -> 大样本链路_0567_步骤4 -> 大样本链路_0567_步骤5,5,3,2026-06-19 09:56:00,1.0,1.245406,大样本链路_0567_步骤5
user_000199,大样本链路_1167_步骤1 -> 大样本链路_1167_步骤2 -> 大样本链路_1167_步骤3 -> 大样本链路_1167_步骤4 -> 大样本链路_1167_步骤5,5,2,2026-06-10 09:56:00,1.0,0.731159,大样本链路_1167_步骤5
user_000201,大样本链路_0167_步骤1 -> 大样本链路_0167_步骤2 -> 大样本链路_0167_步骤3 -> 大样本链路_0167_步骤4 -> 大样本链路_0167_步骤5,5,3,2026-06-23 09:56:00,1.0,1.423039,大样本链路_0167_步骤5
user_000201,大样本链路_0767_步骤1 -> 大样本链路_0767_步骤2 -> 大样本链路_0767_步骤3 -> 大样本链路_0767_步骤4 -> 大样本链路_0767_步骤5,5,3,2026-06-17 09:56:00,1.0,1.165086,大样本链路_0767_步骤5
user_000208,大样本链路_0506_步骤1 -> 大样本链路_0506_步骤2 -> 大样本链路_0506_步骤3 -> 大样本链路_0506_步骤4,4,3,2026-06-25 09:30:00,1.0,1.520227,大样本链路_0506_步骤4
user_000208,大样本链路_1106_步骤1 -> 大样本链路_1106_步骤2 -> 大样本链路_1106_步骤3 -> 大样本链路_1106_步骤4,4,3,2026-06-19 09:30:00,1.0,1.244657,大样本链路_1106_步骤4
user_000209,结构性存款 -> 查还款结果 -> 添加银行卡,3,2,2026-06-17 09:10:00,0.666667,0.567585,添加银行卡
user_000210,大样本链路_0319_步骤1 -> 大样本链路_0319_步骤2 -> 大样本链路_0319_步骤3 -> 大样本链路_0319_步骤4 -> 大样本链路_0319_步骤5,5,3,2026-06-25 09:56:00,1.0,1.521142,大样本链路_0319_步骤5
user_000210,大样本链路_0919_步骤1 -> 大样本链路_0919_步骤2 -> 大样本链路_0919_步骤3 -> 大样本链路_0919_步骤4 -> 大样本链路_0919_步骤5,5,2,2026-06-19 09:56:00,1.0,0.986961,大样本链路_0919_步骤5
user_000213,大样本链路_0883_步骤1 -> 大样本链路_0883_步骤2 -> 大样本链路_0883_步骤3 -> 大样本链路_0883_步骤4 -> 大样本链路_0883_步骤5,5,3,2026-06-22 09:56:00,1.0,1.376386,大样本链路_0883_步骤5
user_000213,大样本链路_0283_步骤1 -> 大样本链路_0283_步骤2 -> 大样本链路_0283_步骤3 -> 大样本链路_0283_步骤4 -> 大样本链路_0283_步骤5,5,3,2026-06-17 09:56:00,1.0,1.165086,大样本链路_0283_步骤5
user_000214,大样本链路_0684_步骤1 -> 大样本链路_0684_步骤2,2,4,2026-06-23 08:30:00,1.0,1.268317,大样本链路_0684_步骤2
user_000214,大样本链路_0084_步骤1 -> 大样本链路_0084_步骤2,2,4,2026-06-18 08:30:00,1.0,1.073607,大样本链路_0084_步骤2
user_000215,大样本链路_0676_步骤1 -> 大样本链路_0676_步骤2,2,4,2026-06-20 08:30:00,1.0,1.14762,大样本链路_0676_步骤2
user_000215,大样本链路_0076_步骤1 -> 大样本链路_0076_步骤2,2,4,2026-06-15 08:30:00,1.0,0.97144,大样本链路_0076_步骤2
user_000217,大样本链路_1016_步骤1 -> 大样本链路_1016_步骤2,2,4,2026-06-21 08:30:00,1.0,1.186519,大样本链路_1016_步骤2
user_000217,大样本链路_0416_步骤1 -> 大样本链路_0416_步骤2,2,4,2026-06-16 08:30:00,1.0,1.004367,大样本链路_0416_步骤2
user_000224,大样本链路_0075_步骤1 -> 大样本链路_0075_步骤2 -> 大样本链路_0075_步骤3 -> 大样本链路_0075_步骤4 -> 大样本链路_0075_步骤5,5,2,2026-06-16 09:56:00,1.0,0.893039,大样本链路_0075_步骤5
user_000224,大样本链路_0675_步骤1 -> 大样本链路_0675_步骤2 -> 大样本链路_0675_步骤3 -> 大样本链路_0675_步骤4 -> 大样本链路_0675_步骤5,5,2,2026-06-07 09:56:00,1.0,0.66158,大样本链路_0675_步骤5
user_000225,大样本链路_0088_步骤1 -> 大样本链路_0088_步骤2,2,4,2026-06-25 08:30:00,1.0,1.355753,大样本链路_0088_步骤2
user_000225,大样本链路_0688_步骤1 -> 大样本链路_0688_步骤2,2,4,2026-06-19 08:30:00,1.0,1.109997,大样本链路_0688_步骤2
user_000227,大样本链路_0134_步骤1 -> 大样本链路_0134_步骤2 -> 大样本链路_0134_步骤3 -> 大样本链路_0134_步骤4,4,3,2026-06-23 09:30:00,1.0,1.422183,大样本链路_0134_步骤4
user_000227,大样本链路_0734_步骤1 -> 大样本链路_0734_步骤2 -> 大样本链路_0734_步骤3 -> 大样本链路_0734_步骤4,4,3,2026-06-17 09:30:00,1.0,1.164385,大样本链路_0734_步骤4
user_000229,大样本链路_0706_步骤1 -> 大样本链路_0706_步骤2 -> 大样本链路_0706_步骤3 -> 大样本链路_0706_步骤4,4,3,2026-06-23 09:30:00,1.0,1.422183,大样本链路_0706_步骤4
user_000229,大样本链路_0106_步骤1 -> 大样本链路_0106_步骤2 -> 大样本链路_0106_步骤3 -> 大样本链路_0106_步骤4,4,3,2026-06-18 09:30:00,1.0,1.203852,大样本链路_0106_步骤4
user_000232,大样本链路_0375_步骤1 -> 大样本链路_0375_步骤2 -> 大样本链路_0375_步骤3 -> 大样本链路_0375_步骤4 -> 大样本链路_0375_步骤5,5,3,2026-06-24 09:56:00,1.0,1.471273,大样本链路_0375_步骤5
user_000232,大样本链路_0975_步骤1 -> 大样本链路_0975_步骤2 -> 大样本链路_0975_步骤3 -> 大样本链路_0975_步骤4 -> 大样本链路_0975_步骤5,5,3,2026-06-18 09:56:00,1.0,1.204577,大样本链路_0975_步骤5
user_000235,查交易结果 -> 银行卡管理,2,3,2026-06-01 02:30:00,0.75,0.390273,银行卡管理
user_000237,大样本链路_0256_步骤1 -> 大样本链路_0256_步骤2,2,4,2026-06-22 08:30:00,1.0,1.226736,大样本链路_0256_步骤2
user_000237,大样本链路_0856_步骤1 -> 大样本链路_0856_步骤2,2,4,2026-06-16 08:30:00,1.0,1.004367,大样本链路_0856_步骤2
user_000240,大样本链路_0696_步骤1 -> 大样本链路_0696_步骤2,2,4,2026-06-22 08:30:00,1.0,1.226736,大样本链路_0696_步骤2
user_000240,大样本链路_0096_步骤1 -> 大样本链路_0096_步骤2,2,4,2026-06-17 08:30:00,1.0,1.03841,大样本链路_0096_步骤2
