user_id,sequence,sequence_length,support_count,next_action_candidate,positive_label,pattern_id
user_000147,大样本链路_0033_步骤1 -> 大样本链路_0033_步骤2 -> 大样本链路_0033_步骤3,3,3,大样本链路_0033_步骤3,1,large_sequence_0033
user_000724,大样本链路_0034_步骤1 -> 大样本链路_0034_步骤2 -> 大样本链路_0034_步骤3 -> 大样本链路_0034_步骤4,4,3,大样本链路_0034_步骤4,1,large_sequence_0034
user_000548,大样本链路_0035_步骤1 -> 大样本链路_0035_步骤2 -> 大样本链路_0035_步骤3 -> 大样本链路_0035_步骤4 -> 大样本链路_0035_步骤5,5,3,大样本链路_0035_步骤5,1,large_sequence_0035
user_000043,大样本链路_0036_步骤1 -> 大样本链路_0036_步骤2,2,4,大样本链路_0036_步骤2,1,large_sequence_0036
user_000740,大样本链路_0037_步骤1 -> 大样本链路_0037_步骤2 -> 大样本链路_0037_步骤3,3,3,大样本链路_0037_步骤3,1,large_sequence_0037
user_001979,大样本链路_0038_步骤1 -> 大样本链路_0038_步骤2 -> 大样本链路_0038_步骤3 -> 大样本链路_0038_步骤4,4,3,大样本链路_0038_步骤4,1,large_sequence_0038
user_000167,大样本链路_0039_步骤1 -> 大样本链路_0039_步骤2 -> 大样本链路_0039_步骤3 -> 大样本链路_0039_步骤4 -> 大样本链路_0039_步骤5,5,3,大样本链路_0039_步骤5,1,large_sequence_0039
user_000288,大样本链路_0040_步骤1 -> 大样本链路_0040_步骤2,2,4,大样本链路_0040_步骤2,1,large_sequence_0040
user_000669,大样本链路_0041_步骤1 -> 大样本链路_0041_步骤2 -> 大样本链路_0041_步骤3,3,3,大样本链路_0041_步骤3,1,large_sequence_0041
user_000269,大样本链路_0042_步骤1 -> 大样本链路_0042_步骤2 -> 大样本链路_0042_步骤3 -> 大样本链路_0042_步骤4,4,3,大样本链路_0042_步骤4,1,large_sequence_0042
user_000675,大样本链路_0043_步骤1 -> 大样本链路_0043_步骤2 -> 大样本链路_0043_步骤3 -> 大样本链路_0043_步骤4 -> 大样本链路_0043_步骤5,5,3,大样本链路_0043_步骤5,1,large_sequence_0043
user_000418,大样本链路_0044_步骤1 -> 大样本链路_0044_步骤2,2,4,大样本链路_0044_步骤2,1,large_sequence_0044
user_000049,大样本链路_0045_步骤1 -> 大样本链路_0045_步骤2 -> 大样本链路_0045_步骤3,3,3,大样本链路_0045_步骤3,1,large_sequence_0045
user_001079,大样本链路_0046_步骤1 -> 大样本链路_0046_步骤2 -> 大样本链路_0046_步骤3 -> 大样本链路_0046_步骤4,4,3,大样本链路_0046_步骤4,1,large_sequence_0046
user_000873,大样本链路_0047_步骤1 -> 大样本链路_0047_步骤2 -> 大样本链路_0047_步骤3 -> 大样本链路_0047_步骤4 -> 大样本链路_0047_步骤5,5,3,大样本链路_0047_步骤5,1,large_sequence_0047
user_000002,大样本链路_0048_步骤1 -> 大样本链路_0048_步骤2,2,4,大样本链路_0048_步骤2,1,large_sequence_0048
user_000716,大样本链路_0049_步骤1 -> 大样本链路_0049_步骤2 -> 大样本链路_0049_步骤3,3,3,大样本链路_0049_步骤3,1,large_sequence_0049
user_001094,大样本链路_0050_步骤1 -> 大样本链路_0050_步骤2 -> 大样本链路_0050_步骤3 -> 大样本链路_0050_步骤4,4,3,大样本链路_0050_步骤4,1,large_sequence_0050
user_001469,大样本链路_0051_步骤1 -> 大样本链路_0051_步骤2 -> 大样本链路_0051_步骤3 -> 大样本链路_0051_步骤4 -> 大样本链路_0051_步骤5,5,3,大样本链路_0051_步骤5,1,large_sequence_0051
user_001139,大样本链路_0052_步骤1 -> 大样本链路_0052_步骤2,2,4,大样本链路_0052_步骤2,1,large_sequence_0052
user_000914,大样本链路_0053_步骤1 -> 大样本链路_0053_步骤2 -> 大样本链路_0053_步骤3,3,3,大样本链路_0053_步骤3,1,large_sequence_0053
user_000438,大样本链路_0054_步骤1 -> 大样本链路_0054_步骤2 -> 大样本链路_0054_步骤3 -> 大样本链路_0054_步骤4,4,3,大样本链路_0054_步骤4,1,large_sequence_0054
user_001631,大样本链路_0055_步骤1 -> 大样本链路_0055_步骤2 -> 大样本链路_0055_步骤3 -> 大样本链路_0055_步骤4 -> 大样本链路_0055_步骤5,5,3,大样本链路_0055_步骤5,1,large_sequence_0055
user_001854,大样本链路_0056_步骤1 -> 大样本链路_0056_步骤2,2,4,大样本链路_0056_步骤2,1,large_sequence_0056
user_000334,大样本链路_0057_步骤1 -> 大样本链路_0057_步骤2 -> 大样本链路_0057_步骤3,3,3,大样本链路_0057_步骤3,1,large_sequence_0057
user_000287,大样本链路_0058_步骤1 -> 大样本链路_0058_步骤2 -> 大样本链路_0058_步骤3 -> 大样本链路_0058_步骤4,4,3,大样本链路_0058_步骤4,1,large_sequence_0058
user_000905,大样本链路_0059_步骤1 -> 大样本链路_0059_步骤2 -> 大样本链路_0059_步骤3 -> 大样本链路_0059_步骤4 -> 大样本链路_0059_步骤5,5,3,大样本链路_0059_步骤5,1,large_sequence_0059
user_001163,大样本链路_0060_步骤1 -> 大样本链路_0060_步骤2,2,4,大样本链路_0060_步骤2,1,large_sequence_0060
user_001441,大样本链路_0061_步骤1 -> 大样本链路_0061_步骤2 -> 大样本链路_0061_步骤3,3,3,大样本链路_0061_步骤3,1,large_sequence_0061
user_001952,大样本链路_0062_步骤1 -> 大样本链路_0062_步骤2 -> 大样本链路_0062_步骤3 -> 大样本链路_0062_步骤4,4,3,大样本链路_0062_步骤4,1,large_sequence_0062
user_000964,大样本链路_0063_步骤1 -> 大样本链路_0063_步骤2 -> 大样本链路_0063_步骤3 -> 大样本链路_0063_步骤4 -> 大样本链路_0063_步骤5,5,3,大样本链路_0063_步骤5,1,large_sequence_0063
user_000761,大样本链路_0064_步骤1 -> 大样本链路_0064_步骤2,2,4,大样本链路_0064_步骤2,1,large_sequence_0064
user_000870,大样本链路_0065_步骤1 -> 大样本链路_0065_步骤2 -> 大样本链路_0065_步骤3,3,3,大样本链路_0065_步骤3,1,large_sequence_0065
user_001649,大样本链路_0066_步骤1 -> 大样本链路_0066_步骤2 -> 大样本链路_0066_步骤3 -> 大样本链路_0066_步骤4,4,3,大样本链路_0066_步骤4,1,large_sequence_0066
user_000172,大样本链路_0067_步骤1 -> 大样本链路_0067_步骤2 -> 大样本链路_0067_步骤3 -> 大样本链路_0067_步骤4 -> 大样本链路_0067_步骤5,5,3,大样本链路_0067_步骤5,1,large_sequence_0067
user_001508,大样本链路_0068_步骤1 -> 大样本链路_0068_步骤2,2,4,大样本链路_0068_步骤2,1,large_sequence_0068
user_001121,大样本链路_0069_步骤1 -> 大样本链路_0069_步骤2 -> 大样本链路_0069_步骤3,3,3,大样本链路_0069_步骤3,1,large_sequence_0069
user_001591,大样本链路_0070_步骤1 -> 大样本链路_0070_步骤2 -> 大样本链路_0070_步骤3 -> 大样本链路_0070_步骤4,4,3,大样本链路_0070_步骤4,1,large_sequence_0070
user_001037,大样本链路_0071_步骤1 -> 大样本链路_0071_步骤2 -> 大样本链路_0071_步骤3 -> 大样本链路_0071_步骤4 -> 大样本链路_0071_步骤5,5,3,大样本链路_0071_步骤5,1,large_sequence_0071
user_000359,大样本链路_0072_步骤1 -> 大样本链路_0072_步骤2,2,4,大样本链路_0072_步骤2,1,large_sequence_0072
user_001174,大样本链路_0073_步骤1 -> 大样本链路_0073_步骤2 -> 大样本链路_0073_步骤3,3,3,大样本链路_0073_步骤3,1,large_sequence_0073
user_001048,大样本链路_0074_步骤1 -> 大样本链路_0074_步骤2 -> 大样本链路_0074_步骤3 -> 大样本链路_0074_步骤4,4,3,大样本链路_0074_步骤4,1,large_sequence_0074
user_000224,大样本链路_0075_步骤1 -> 大样本链路_0075_步骤2 -> 大样本链路_0075_步骤3 -> 大样本链路_0075_步骤4 -> 大样本链路_0075_步骤5,5,3,大样本链路_0075_步骤5,1,large_sequence_0075
user_000215,大样本链路_0076_步骤1 -> 大样本链路_0076_步骤2,2,4,大样本链路_0076_步骤2,1,large_sequence_0076
user_000723,大样本链路_0077_步骤1 -> 大样本链路_0077_步骤2 -> 大样本链路_0077_步骤3,3,3,大样本链路_0077_步骤3,1,large_sequence_0077
user_001457,大样本链路_0078_步骤1 -> 大样本链路_0078_步骤2 -> 大样本链路_0078_步骤3 -> 大样本链路_0078_步骤4,4,3,大样本链路_0078_步骤4,1,large_sequence_0078
user_001061,大样本链路_0079_步骤1 -> 大样本链路_0079_步骤2 -> 大样本链路_0079_步骤3 -> 大样本链路_0079_步骤4 -> 大样本链路_0079_步骤5,5,3,大样本链路_0079_步骤5,1,large_sequence_0079
user_001938,大样本链路_0080_步骤1 -> 大样本链路_0080_步骤2,2,4,大样本链路_0080_步骤2,1,large_sequence_0080
user_001057,大样本链路_0081_步骤1 -> 大样本链路_0081_步骤2 -> 大样本链路_0081_步骤3,3,3,大样本链路_0081_步骤3,1,large_sequence_0081
user_000931,大样本链路_0082_步骤1 -> 大样本链路_0082_步骤2 -> 大样本链路_0082_步骤3 -> 大样本链路_0082_步骤4,4,3,大样本链路_0082_步骤4,1,large_sequence_0082
user_001796,大样本链路_0083_步骤1 -> 大样本链路_0083_步骤2 -> 大样本链路_0083_步骤3 -> 大样本链路_0083_步骤4 -> 大样本链路_0083_步骤5,5,3,大样本链路_0083_步骤5,1,large_sequence_0083
user_000214,大样本链路_0084_步骤1 -> 大样本链路_0084_步骤2,2,4,大样本链路_0084_步骤2,1,large_sequence_0084
user_000815,大样本链路_0085_步骤1 -> 大样本链路_0085_步骤2 -> 大样本链路_0085_步骤3,3,3,大样本链路_0085_步骤3,1,large_sequence_0085
user_000910,大样本链路_0086_步骤1 -> 大样本链路_0086_步骤2 -> 大样本链路_0086_步骤3 -> 大样本链路_0086_步骤4,4,3,大样本链路_0086_步骤4,1,large_sequence_0086
user_001858,大样本链路_0087_步骤1 -> 大样本链路_0087_步骤2 -> 大样本链路_0087_步骤3 -> 大样本链路_0087_步骤4 -> 大样本链路_0087_步骤5,5,3,大样本链路_0087_步骤5,1,large_sequence_0087
user_000225,大样本链路_0088_步骤1 -> 大样本链路_0088_步骤2,2,4,大样本链路_0088_步骤2,1,large_sequence_0088
user_001543,大样本链路_0089_步骤1 -> 大样本链路_0089_步骤2 -> 大样本链路_0089_步骤3,3,3,大样本链路_0089_步骤3,1,large_sequence_0089
user_001989,大样本链路_0090_步骤1 -> 大样本链路_0090_步骤2 -> 大样本链路_0090_步骤3 -> 大样本链路_0090_步骤4,4,3,大样本链路_0090_步骤4,1,large_sequence_0090
user_000650,大样本链路_0091_步骤1 -> 大样本链路_0091_步骤2 -> 大样本链路_0091_步骤3 -> 大样本链路_0091_步骤4 -> 大样本链路_0091_步骤5,5,3,大样本链路_0091_步骤5,1,large_sequence_0091
user_001847,大样本链路_0092_步骤1 -> 大样本链路_0092_步骤2,2,4,大样本链路_0092_步骤2,1,large_sequence_0092
user_000124,大样本链路_0093_步骤1 -> 大样本链路_0093_步骤2 -> 大样本链路_0093_步骤3,3,3,大样本链路_0093_步骤3,1,large_sequence_0093
user_000136,大样本链路_0094_步骤1 -> 大样本链路_0094_步骤2 -> 大样本链路_0094_步骤3 -> 大样本链路_0094_步骤4,4,3,大样本链路_0094_步骤4,1,large_sequence_0094
user_001963,大样本链路_0095_步骤1 -> 大样本链路_0095_步骤2 -> 大样本链路_0095_步骤3 -> 大样本链路_0095_步骤4 -> 大样本链路_0095_步骤5,5,3,大样本链路_0095_步骤5,1,large_sequence_0095
user_000240,大样本链路_0096_步骤1 -> 大样本链路_0096_步骤2,2,4,大样本链路_0096_步骤2,1,large_sequence_0096
user_000827,大样本链路_0097_步骤1 -> 大样本链路_0097_步骤2 -> 大样本链路_0097_步骤3,3,3,大样本链路_0097_步骤3,1,large_sequence_0097
user_001319,大样本链路_0098_步骤1 -> 大样本链路_0098_步骤2 -> 大样本链路_0098_步骤3 -> 大样本链路_0098_步骤4,4,3,大样本链路_0098_步骤4,1,large_sequence_0098
user_001097,大样本链路_0099_步骤1 -> 大样本链路_0099_步骤2 -> 大样本链路_0099_步骤3 -> 大样本链路_0099_步骤4 -> 大样本链路_0099_步骤5,5,3,大样本链路_0099_步骤5,1,large_sequence_0099
user_001340,大样本链路_0100_步骤1 -> 大样本链路_0100_步骤2,2,4,大样本链路_0100_步骤2,1,large_sequence_0100
user_001528,大样本链路_0101_步骤1 -> 大样本链路_0101_步骤2 -> 大样本链路_0101_步骤3,3,3,大样本链路_0101_步骤3,1,large_sequence_0101
user_000404,大样本链路_0102_步骤1 -> 大样本链路_0102_步骤2 -> 大样本链路_0102_步骤3 -> 大样本链路_0102_步骤4,4,3,大样本链路_0102_步骤4,1,large_sequence_0102
user_000433,大样本链路_0103_步骤1 -> 大样本链路_0103_步骤2 -> 大样本链路_0103_步骤3 -> 大样本链路_0103_步骤4 -> 大样本链路_0103_步骤5,5,3,大样本链路_0103_步骤5,1,large_sequence_0103
user_000063,大样本链路_0104_步骤1 -> 大样本链路_0104_步骤2,2,4,大样本链路_0104_步骤2,1,large_sequence_0104
user_001288,大样本链路_0105_步骤1 -> 大样本链路_0105_步骤2 -> 大样本链路_0105_步骤3,3,3,大样本链路_0105_步骤3,1,large_sequence_0105
user_000229,大样本链路_0106_步骤1 -> 大样本链路_0106_步骤2 -> 大样本链路_0106_步骤3 -> 大样本链路_0106_步骤4,4,3,大样本链路_0106_步骤4,1,large_sequence_0106
user_000352,大样本链路_0107_步骤1 -> 大样本链路_0107_步骤2 -> 大样本链路_0107_步骤3 -> 大样本链路_0107_步骤4 -> 大样本链路_0107_步骤5,5,3,大样本链路_0107_步骤5,1,large_sequence_0107
user_000520,大样本链路_0108_步骤1 -> 大样本链路_0108_步骤2,2,4,大样本链路_0108_步骤2,1,large_sequence_0108
user_000355,大样本链路_0109_步骤1 -> 大样本链路_0109_步骤2 -> 大样本链路_0109_步骤3,3,3,大样本链路_0109_步骤3,1,large_sequence_0109
user_001014,大样本链路_0110_步骤1 -> 大样本链路_0110_步骤2 -> 大样本链路_0110_步骤3 -> 大样本链路_0110_步骤4,4,3,大样本链路_0110_步骤4,1,large_sequence_0110
user_000292,大样本链路_0111_步骤1 -> 大样本链路_0111_步骤2 -> 大样本链路_0111_步骤3 -> 大样本链路_0111_步骤4 -> 大样本链路_0111_步骤5,5,3,大样本链路_0111_步骤5,1,large_sequence_0111
user_001083,大样本链路_0112_步骤1 -> 大样本链路_0112_步骤2,2,4,大样本链路_0112_步骤2,1,large_sequence_0112
user_001987,大样本链路_0113_步骤1 -> 大样本链路_0113_步骤2 -> 大样本链路_0113_步骤3,3,3,大样本链路_0113_步骤3,1,large_sequence_0113
user_001008,大样本链路_0114_步骤1 -> 大样本链路_0114_步骤2 -> 大样本链路_0114_步骤3 -> 大样本链路_0114_步骤4,4,3,大样本链路_0114_步骤4,1,large_sequence_0114
user_001034,大样本链路_0115_步骤1 -> 大样本链路_0115_步骤2 -> 大样本链路_0115_步骤3 -> 大样本链路_0115_步骤4 -> 大样本链路_0115_步骤5,5,3,大样本链路_0115_步骤5,1,large_sequence_0115
user_001642,大样本链路_0116_步骤1 -> 大样本链路_0116_步骤2,2,4,大样本链路_0116_步骤2,1,large_sequence_0116
user_001691,大样本链路_0117_步骤1 -> 大样本链路_0117_步骤2 -> 大样本链路_0117_步骤3,3,3,大样本链路_0117_步骤3,1,large_sequence_0117
user_001519,大样本链路_0118_步骤1 -> 大样本链路_0118_步骤2 -> 大样本链路_0118_步骤3 -> 大样本链路_0118_步骤4,4,3,大样本链路_0118_步骤4,1,large_sequence_0118
user_001439,大样本链路_0119_步骤1 -> 大样本链路_0119_步骤2 -> 大样本链路_0119_步骤3 -> 大样本链路_0119_步骤4 -> 大样本链路_0119_步骤5,5,3,大样本链路_0119_步骤5,1,large_sequence_0119
user_000900,大样本链路_0120_步骤1 -> 大样本链路_0120_步骤2,2,4,大样本链路_0120_步骤2,1,large_sequence_0120
user_000286,大样本链路_0121_步骤1 -> 大样本链路_0121_步骤2 -> 大样本链路_0121_步骤3,3,3,大样本链路_0121_步骤3,1,large_sequence_0121
user_000506,大样本链路_0122_步骤1 -> 大样本链路_0122_步骤2 -> 大样本链路_0122_步骤3 -> 大样本链路_0122_步骤4,4,3,大样本链路_0122_步骤4,1,large_sequence_0122
user_001148,大样本链路_0123_步骤1 -> 大样本链路_0123_步骤2 -> 大样本链路_0123_步骤3 -> 大样本链路_0123_步骤4 -> 大样本链路_0123_步骤5,5,3,大样本链路_0123_步骤5,1,large_sequence_0123
user_000662,大样本链路_0124_步骤1 -> 大样本链路_0124_步骤2,2,4,大样本链路_0124_步骤2,1,large_sequence_0124
user_001123,大样本链路_0125_步骤1 -> 大样本链路_0125_步骤2 -> 大样本链路_0125_步骤3,3,3,大样本链路_0125_步骤3,1,large_sequence_0125
user_001363,大样本链路_0126_步骤1 -> 大样本链路_0126_步骤2 -> 大样本链路_0126_步骤3 -> 大样本链路_0126_步骤4,4,3,大样本链路_0126_步骤4,1,large_sequence_0126
user_000064,大样本链路_0127_步骤1 -> 大样本链路_0127_步骤2 -> 大样本链路_0127_步骤3 -> 大样本链路_0127_步骤4 -> 大样本链路_0127_步骤5,5,3,大样本链路_0127_步骤5,1,large_sequence_0127
user_000752,大样本链路_0128_步骤1 -> 大样本链路_0128_步骤2,2,4,大样本链路_0128_步骤2,1,large_sequence_0128
user_000542,大样本链路_0129_步骤1 -> 大样本链路_0129_步骤2 -> 大样本链路_0129_步骤3,3,3,大样本链路_0129_步骤3,1,large_sequence_0129
user_000689,大样本链路_0130_步骤1 -> 大样本链路_0130_步骤2 -> 大样本链路_0130_步骤3 -> 大样本链路_0130_步骤4,4,3,大样本链路_0130_步骤4,1,large_sequence_0130
user_001199,大样本链路_0131_步骤1 -> 大样本链路_0131_步骤2 -> 大样本链路_0131_步骤3 -> 大样本链路_0131_步骤4 -> 大样本链路_0131_步骤5,5,3,大样本链路_0131_步骤5,1,large_sequence_0131
user_000930,大样本链路_0132_步骤1 -> 大样本链路_0132_步骤2,2,4,大样本链路_0132_步骤2,1,large_sequence_0132
user_000518,大样本链路_0133_步骤1 -> 大样本链路_0133_步骤2 -> 大样本链路_0133_步骤3,3,3,大样本链路_0133_步骤3,1,large_sequence_0133
user_000227,大样本链路_0134_步骤1 -> 大样本链路_0134_步骤2 -> 大样本链路_0134_步骤3 -> 大样本链路_0134_步骤4,4,3,大样本链路_0134_步骤4,1,large_sequence_0134
user_000469,大样本链路_0135_步骤1 -> 大样本链路_0135_步骤2 -> 大样本链路_0135_步骤3 -> 大样本链路_0135_步骤4 -> 大样本链路_0135_步骤5,5,3,大样本链路_0135_步骤5,1,large_sequence_0135
user_001312,大样本链路_0136_步骤1 -> 大样本链路_0136_步骤2,2,4,大样本链路_0136_步骤2,1,large_sequence_0136
user_001826,大样本链路_0137_步骤1 -> 大样本链路_0137_步骤2 -> 大样本链路_0137_步骤3,3,3,大样本链路_0137_步骤3,1,large_sequence_0137
user_001744,大样本链路_0138_步骤1 -> 大样本链路_0138_步骤2 -> 大样本链路_0138_步骤3 -> 大样本链路_0138_步骤4,4,3,大样本链路_0138_步骤4,1,large_sequence_0138
user_001554,大样本链路_0139_步骤1 -> 大样本链路_0139_步骤2 -> 大样本链路_0139_步骤3 -> 大样本链路_0139_步骤4 -> 大样本链路_0139_步骤5,5,3,大样本链路_0139_步骤5,1,large_sequence_0139
user_001525,大样本链路_0140_步骤1 -> 大样本链路_0140_步骤2,2,4,大样本链路_0140_步骤2,1,large_sequence_0140
user_000755,大样本链路_0141_步骤1 -> 大样本链路_0141_步骤2 -> 大样本链路_0141_步骤3,3,3,大样本链路_0141_步骤3,1,large_sequence_0141
user_000706,大样本链路_0142_步骤1 -> 大样本链路_0142_步骤2 -> 大样本链路_0142_步骤3 -> 大样本链路_0142_步骤4,4,3,大样本链路_0142_步骤4,1,large_sequence_0142
user_000479,大样本链路_0143_步骤1 -> 大样本链路_0143_步骤2 -> 大样本链路_0143_步骤3 -> 大样本链路_0143_步骤4 -> 大样本链路_0143_步骤5,5,3,大样本链路_0143_步骤5,1,large_sequence_0143
user_001006,大样本链路_0144_步骤1 -> 大样本链路_0144_步骤2,2,4,大样本链路_0144_步骤2,1,large_sequence_0144
user_001463,大样本链路_0145_步骤1 -> 大样本链路_0145_步骤2 -> 大样本链路_0145_步骤3,3,3,大样本链路_0145_步骤3,1,large_sequence_0145
user_000887,大样本链路_0146_步骤1 -> 大样本链路_0146_步骤2 -> 大样本链路_0146_步骤3 -> 大样本链路_0146_步骤4,4,3,大样本链路_0146_步骤4,1,large_sequence_0146
user_001998,大样本链路_0147_步骤1 -> 大样本链路_0147_步骤2 -> 大样本链路_0147_步骤3 -> 大样本链路_0147_步骤4 -> 大样本链路_0147_步骤5,5,3,大样本链路_0147_步骤5,1,large_sequence_0147
user_001530,大样本链路_0148_步骤1 -> 大样本链路_0148_步骤2,2,4,大样本链路_0148_步骤2,1,large_sequence_0148
user_001768,大样本链路_0149_步骤1 -> 大样本链路_0149_步骤2 -> 大样本链路_0149_步骤3,3,3,大样本链路_0149_步骤3,1,large_sequence_0149
user_000813,大样本链路_0150_步骤1 -> 大样本链路_0150_步骤2 -> 大样本链路_0150_步骤3 -> 大样本链路_0150_步骤4,4,3,大样本链路_0150_步骤4,1,large_sequence_0150
user_000765,大样本链路_0151_步骤1 -> 大样本链路_0151_步骤2 -> 大样本链路_0151_步骤3 -> 大样本链路_0151_步骤4 -> 大样本链路_0151_步骤5,5,3,大样本链路_0151_步骤5,1,large_sequence_0151
user_000682,大样本链路_0152_步骤1 -> 大样本链路_0152_步骤2,2,4,大样本链路_0152_步骤2,1,large_sequence_0152
user_000727,大样本链路_0153_步骤1 -> 大样本链路_0153_步骤2 -> 大样本链路_0153_步骤3,3,3,大样本链路_0153_步骤3,1,large_sequence_0153
