user_id,action_name,period_type,period_value,next_expected_time,confidence,evidence,preferred_time_window
user_000051,大样本周期_interval_0607,interval,every 17 days,2026-07-16 18:00:00,0.949524,最近 6 个活跃日相邻行为间隔约 17 天，CV=0.02,evening
user_000052,查看基金净值,monthly,day≈16,2026-07-16 13:00:00,0.720455,最近 186 天内 75% 的行为集中在每月 16 日前后,evening
user_000054,大样本周期_monthly_0026,monthly,day≈28,2026-07-28 12:00:00,0.97631,最近 186 天内 100% 的行为集中在每月 28 日前后,noon
user_000054,查交易明细,monthly,day≈27,2026-07-27 00:00:00,0.714079,最近 186 天内 75% 的行为集中在每月 27 日前后,afternoon
user_000055,大样本周期_daily_0528,daily,every 1 day,2026-07-01 05:00:00,0.9825,最近 7 天内 7 个活跃日平均间隔 1.0 天,night
user_000058,大样本周期_daily_0944,daily,every 1 day,2026-07-01 05:00:00,0.9825,最近 7 天内 7 个活跃日平均间隔 1.0 天,night
user_000061,大样本周期_interval_0771,interval,every 9 days,2026-06-30 18:00:00,0.965,最近 6 个活跃日相邻行为间隔约 9 天，CV=0.00,evening
user_000062,大样本周期_monthly_0010,monthly,day≈28,2026-07-28 12:00:00,0.97631,最近 186 天内 100% 的行为集中在每月 28 日前后,noon
user_000063,大样本周期_daily_0104,daily,every 1 day,2026-07-01 05:00:00,0.9825,最近 7 天内 7 个活跃日平均间隔 1.0 天,night
user_000064,大样本周期_interval_0127,interval,every 17 days,2026-07-16 18:00:00,0.949524,最近 6 个活跃日相邻行为间隔约 17 天，CV=0.02,evening
user_000064,查账户明细,monthly,day≈17,2026-07-17 15:00:00,0.907215,最近 186 天内 75% 的行为集中在每月 17 日前后,evening
user_000070,大样本周期_interval_0379,interval,every 13 days,2026-07-12 18:00:00,0.965,最近 6 个活跃日相邻行为间隔约 13 天，CV=0.00,evening
user_000073,大样本周期_weekly_0661,weekly,weekday=3,2026-07-02 06:00:00,0.70504,最近 56 天内 86% 的行为发生在星期 4,morning
user_000074,查看理财产品,daily,every 1 day,2026-07-01 02:00:00,0.9825,最近 7 天内 4 个活跃日平均间隔 1.0 天,evening
user_000074,查账户明细,monthly,day≈25,2026-07-25 10:00:00,0.78599,最近 186 天内 75% 的行为集中在每月 25 日前后,evening
user_000074,查还款结果,daily,every 1 day,2026-07-01 02:00:00,0.765833,最近 7 天内 3 个活跃日平均间隔 1.5 天,afternoon
user_000075,大样本周期_daily_0696,daily,every 1 day,2026-07-01 05:00:00,0.9825,最近 7 天内 7 个活跃日平均间隔 1.0 天,night
user_000076,跨行转入,monthly,day≈4,2026-07-04 02:00:00,0.797778,最近 186 天内 100% 的行为集中在每月 4 日前后,night
user_000076,添加银行卡,weekly,weekday=2,2026-07-01 04:00:00,0.746152,最近 56 天内 80% 的行为发生在星期 3,night
user_000077,大样本周期_interval_0195,interval,every 9 days,2026-06-30 18:00:00,0.965,最近 6 个活跃日相邻行为间隔约 9 天，CV=0.00,evening
user_000079,大样本周期_weekly_0881,weekly,weekday=6,2026-07-05 06:00:00,1.0,最近 56 天内 100% 的行为发生在星期 7,morning
user_000081,大样本周期_interval_0979,interval,every 9 days,2026-07-08 18:00:00,0.965,最近 6 个活跃日相邻行为间隔约 9 天，CV=0.00,evening
user_000085,快捷支付,monthly,day≈2,2026-07-02 11:00:00,0.794715,最近 186 天内 75% 的行为集中在每月 2 日前后,evening
user_000096,大样本周期_weekly_0393,weekly,weekday=1,2026-07-07 06:00:00,1.0,最近 56 天内 100% 的行为发生在星期 2,morning
user_000102,大样本周期_interval_0983,interval,every 11 days,2026-07-09 18:00:00,0.940926,最近 6 个活跃日相邻行为间隔约 11 天，CV=0.04,evening
user_000103,大样本周期_interval_0923,interval,every 13 days,2026-07-11 18:00:00,0.965,最近 6 个活跃日相邻行为间隔约 13 天，CV=0.00,evening
user_000104,大样本周期_weekly_0177,weekly,weekday=2,2026-07-01 06:00:00,1.0,最近 56 天内 100% 的行为发生在星期 3,morning
user_000105,大样本周期_daily_0620,daily,every 1 day,2026-07-01 05:00:00,0.9825,最近 7 天内 6 个活跃日平均间隔 1.0 天,night
user_000106,大样本周期_weekly_0769,weekly,weekday=6,2026-07-05 06:00:00,1.0,最近 56 天内 100% 的行为发生在星期 7,morning
user_000107,短信验证,monthly,day≈6,2026-07-06 16:00:00,0.901667,最近 186 天内 75% 的行为集中在每月 6 日前后,evening
user_000107,大样本周期_weekly_0765,weekly,weekday=2,2026-07-01 06:00:00,0.70504,最近 56 天内 86% 的行为发生在星期 3,morning
user_000111,大样本周期_interval_0291,interval,every 9 days,2026-06-30 18:00:00,0.965,最近 6 个活跃日相邻行为间隔约 9 天，CV=0.00,evening
user_000113,大样本周期_interval_0695,interval,every 11 days,2026-07-09 18:00:00,0.940926,最近 6 个活跃日相邻行为间隔约 11 天，CV=0.04,evening
user_000114,大样本周期_daily_0840,daily,every 1 day,2026-07-01 05:00:00,0.9825,最近 7 天内 7 个活跃日平均间隔 1.0 天,night
user_000115,大样本周期_daily_0968,daily,every 1 day,2026-07-01 05:00:00,0.9825,最近 7 天内 7 个活跃日平均间隔 1.0 天,night
user_000117,大样本周期_daily_0848,daily,every 1 day,2026-07-01 05:00:00,0.9825,最近 7 天内 7 个活跃日平均间隔 1.0 天,night
user_000118,大样本周期_daily_0652,daily,every 1 day,2026-07-01 05:00:00,0.9825,最近 7 天内 6 个活跃日平均间隔 1.0 天,night
user_000120,大样本周期_interval_0971,interval,every 13 days,2026-07-11 18:00:00,0.965,最近 6 个活跃日相邻行为间隔约 13 天，CV=0.00,evening
user_000121,大样本周期_weekly_0929,weekly,weekday=5,2026-07-04 06:00:00,1.0,最近 56 天内 100% 的行为发生在星期 6,morning
user_000122,大样本周期_interval_0239,interval,every 17 days,2026-07-15 18:00:00,0.949524,最近 6 个活跃日相邻行为间隔约 17 天，CV=0.02,evening
user_000124,大样本周期_weekly_0093,weekly,weekday=2,2026-07-01 06:00:00,0.70504,最近 56 天内 86% 的行为发生在星期 3,morning
user_000125,短信验证,monthly,day≈13,2026-07-13 05:00:00,0.797794,最近 186 天内 75% 的行为集中在每月 13 日前后,afternoon
user_000129,大样本周期_daily_0192,daily,every 1 day,2026-07-01 05:00:00,0.9825,最近 7 天内 7 个活跃日平均间隔 1.0 天,night
user_000130,大样本周期_daily_0484,daily,every 1 day,2026-07-01 05:00:00,0.9825,最近 7 天内 6 个活跃日平均间隔 1.0 天,night
user_000130,预约网点取号,monthly,day≈8,2026-07-08 07:00:00,0.772304,最近 186 天内 75% 的行为集中在每月 8 日前后,morning
user_000131,大样本周期_interval_0887,interval,every 11 days,2026-07-09 18:00:00,0.940926,最近 6 个活跃日相邻行为间隔约 11 天，CV=0.04,evening
user_000137,快捷支付,monthly,day≈24,2026-07-24 15:00:00,0.9025,最近 186 天内 75% 的行为集中在每月 24 日前后,evening
user_000139,买黄金,monthly,day≈9,2026-07-09 03:00:00,0.896646,最近 186 天内 75% 的行为集中在每月 9 日前后,night
user_000139,查账户明细,monthly,day≈19,2026-07-19 11:00:00,0.88564,最近 186 天内 75% 的行为集中在每月 19 日前后,noon
user_000140,大样本周期_weekly_0825,weekly,weekday=6,2026-07-05 06:00:00,1.0,最近 56 天内 100% 的行为发生在星期 7,morning
user_000140,收款码,monthly,day≈25,2026-07-25 03:00:00,0.809868,最近 186 天内 75% 的行为集中在每月 25 日前后,night
user_000141,大样本周期_weekly_0325,weekly,weekday=3,2026-07-02 06:00:00,0.70504,最近 56 天内 86% 的行为发生在星期 4,morning
user_000142,大样本周期_daily_0880,daily,every 1 day,2026-07-01 05:00:00,0.9825,最近 7 天内 7 个活跃日平均间隔 1.0 天,night
user_000146,大样本周期_daily_0496,daily,every 1 day,2026-07-01 05:00:00,0.9825,最近 7 天内 7 个活跃日平均间隔 1.0 天,night
user_000147,大样本周期_weekly_0033,weekly,weekday=5,2026-07-04 06:00:00,1.0,最近 56 天内 100% 的行为发生在星期 6,morning
user_000149,大样本周期_weekly_0501,weekly,weekday=4,2026-07-03 06:00:00,0.70504,最近 56 天内 86% 的行为发生在星期 5,morning
user_000150,大样本周期_interval_0015,interval,every 17 days,2026-06-30 18:00:00,0.940818,最近 6 个活跃日相邻行为间隔约 17 天，CV=0.04,evening
user_000154,大样本周期_monthly_0722,monthly,day≈1,2026-07-01 12:00:00,0.9749,最近 186 天内 100% 的行为集中在每月 1 日前后,noon
user_000156,大样本周期_weekly_0989,weekly,weekday=2,2026-07-01 06:00:00,0.70504,最近 56 天内 86% 的行为发生在星期 3,morning
user_000158,大样本周期_daily_0912,daily,every 1 day,2026-07-01 05:00:00,0.9825,最近 7 天内 7 个活跃日平均间隔 1.0 天,night
user_000160,大样本周期_interval_0679,interval,every 11 days,2026-07-10 18:00:00,0.940926,最近 6 个活跃日相邻行为间隔约 11 天，CV=0.04,evening
user_000162,查看基金净值,monthly,day≈28,2026-07-28 08:00:00,0.801956,最近 186 天内 75% 的行为集中在每月 28 日前后,morning
user_000163,大样本周期_monthly_0210,monthly,day≈1,2026-07-01 12:00:00,0.9749,最近 186 天内 100% 的行为集中在每月 1 日前后,noon
user_000164,大样本周期_interval_0471,interval,every 11 days,2026-06-30 18:00:00,0.927628,最近 6 个活跃日相邻行为间隔约 11 天，CV=0.06,evening
user_000166,大样本周期_monthly_0610,monthly,day≈1,2026-07-01 12:00:00,0.9749,最近 186 天内 100% 的行为集中在每月 1 日前后,noon
user_000167,大样本周期_interval_0039,interval,every 11 days,2026-06-30 18:00:00,0.927628,最近 6 个活跃日相邻行为间隔约 11 天，CV=0.06,evening
user_000170,大样本周期_weekly_0625,weekly,weekday=2,2026-07-01 06:00:00,1.0,最近 56 天内 100% 的行为发生在星期 3,morning
user_000171,大样本周期_weekly_0553,weekly,weekday=0,2026-07-06 06:00:00,1.0,最近 56 天内 100% 的行为发生在星期 1,morning
user_000171,买黄金,monthly,day≈23,2026-07-23 10:00:00,0.777265,最近 186 天内 75% 的行为集中在每月 23 日前后,evening
user_000171,预约网点取号,monthly,day≈9,2026-07-09 04:00:00,0.773913,最近 186 天内 100% 的行为集中在每月 9 日前后,night
user_000172,大样本周期_interval_0067,interval,every 9 days,2026-07-08 18:00:00,0.965,最近 6 个活跃日相邻行为间隔约 9 天，CV=0.00,evening
user_000172,买黄金,monthly,day≈5,2026-07-05 01:00:00,0.891532,最近 186 天内 75% 的行为集中在每月 5 日前后,night
user_000176,买黄金,monthly,day≈30,2026-07-30 08:00:00,0.87349,最近 186 天内 100% 的行为集中在每月 30 日前后,morning
user_000178,大样本周期_daily_0824,daily,every 1 day,2026-07-01 05:00:00,0.9825,最近 7 天内 7 个活跃日平均间隔 1.0 天,night
user_000180,大样本周期_monthly_0778,monthly,day≈28,2026-07-28 12:00:00,0.97631,最近 186 天内 100% 的行为集中在每月 28 日前后,noon
user_000181,大样本周期_weekly_0361,weekly,weekday=4,2026-07-03 06:00:00,1.0,最近 56 天内 100% 的行为发生在星期 5,morning
user_000182,大样本周期_weekly_0621,weekly,weekday=5,2026-07-04 06:00:00,0.70504,最近 56 天内 86% 的行为发生在星期 6,morning
user_000183,大样本周期_monthly_0362,monthly,day≈28,2026-07-28 12:00:00,0.97631,最近 186 天内 100% 的行为集中在每月 28 日前后,noon
user_000184,跨行转入,monthly,day≈13,2026-07-13 03:00:00,0.874368,最近 186 天内 80% 的行为集中在每月 13 日前后,morning
user_000184,大样本周期_weekly_0557,weekly,weekday=4,2026-07-03 06:00:00,0.70504,最近 56 天内 86% 的行为发生在星期 5,morning
user_000185,风险评估,weekly,weekday=0,2026-07-06 02:00:00,0.874591,最近 56 天内 75% 的行为发生在星期 1,afternoon
user_000186,添加银行卡,monthly,day≈3,2026-07-03 00:00:00,0.741447,最近 186 天内 75% 的行为集中在每月 3 日前后,night
user_000187,大样本周期_interval_0811,interval,every 13 days,2026-07-12 18:00:00,0.965,最近 6 个活跃日相邻行为间隔约 13 天，CV=0.00,evening
user_000189,查还款结果,monthly,day≈8,2026-07-08 03:00:00,0.977966,最近 186 天内 100% 的行为集中在每月 8 日前后,afternoon
user_000192,大样本周期_daily_0336,daily,every 1 day,2026-07-01 05:00:00,0.9825,最近 7 天内 7 个活跃日平均间隔 1.0 天,night
user_000196,添加银行卡,daily,every 1 day,2026-07-01 02:00:00,0.75269,最近 7 天内 4 个活跃日平均间隔 1.3 天,evening
user_000197,大样本周期_interval_0011,interval,every 13 days,2026-07-11 18:00:00,0.965,最近 6 个活跃日相邻行为间隔约 13 天，CV=0.00,evening
user_000199,大样本周期_interval_0567,interval,every 11 days,2026-06-30 18:00:00,0.927628,最近 6 个活跃日相邻行为间隔约 11 天，CV=0.06,evening
user_000201,大样本周期_interval_0167,interval,every 11 days,2026-07-09 18:00:00,0.940926,最近 6 个活跃日相邻行为间隔约 11 天，CV=0.04,evening
user_000206,大样本周期_interval_0739,interval,every 9 days,2026-07-08 18:00:00,0.965,最近 6 个活跃日相邻行为间隔约 9 天，CV=0.00,evening
user_000207,大样本周期_monthly_0930,monthly,day≈1,2026-07-01 12:00:00,0.9749,最近 186 天内 100% 的行为集中在每月 1 日前后,noon
user_000208,大样本周期_monthly_0506,monthly,day≈28,2026-07-28 12:00:00,0.97631,最近 186 天内 100% 的行为集中在每月 28 日前后,noon
user_000210,大样本周期_interval_0319,interval,every 17 days,2026-07-16 18:00:00,0.949524,最近 6 个活跃日相邻行为间隔约 17 天，CV=0.02,evening
user_000213,大样本周期_interval_0283,interval,every 13 days,2026-07-12 18:00:00,0.965,最近 6 个活跃日相邻行为间隔约 13 天，CV=0.00,evening
user_000214,大样本周期_daily_0084,daily,every 1 day,2026-07-01 05:00:00,0.9825,最近 7 天内 6 个活跃日平均间隔 1.0 天,night
user_000215,大样本周期_daily_0076,daily,every 1 day,2026-07-01 05:00:00,0.9825,最近 7 天内 6 个活跃日平均间隔 1.0 天,night
user_000216,大样本周期_monthly_0678,monthly,day≈15,2026-07-15 12:00:00,0.964182,最近 186 天内 100% 的行为集中在每月 15 日前后,noon
user_000216,收款码,daily,every 1 day,2026-07-01 00:00:00,0.765833,最近 7 天内 3 个活跃日平均间隔 1.5 天,morning
user_000217,大样本周期_daily_0416,daily,every 1 day,2026-07-01 05:00:00,0.9825,最近 7 天内 7 个活跃日平均间隔 1.0 天,night
user_000218,大样本周期_interval_0759,interval,every 11 days,2026-06-30 18:00:00,0.927628,最近 6 个活跃日相邻行为间隔约 11 天，CV=0.06,evening
user_000219,添加银行卡,monthly,day≈28,2026-07-28 10:00:00,0.741447,最近 186 天内 75% 的行为集中在每月 28 日前后,morning
user_000220,跨行转入,monthly,day≈3,2026-07-03 02:00:00,0.896113,最近 186 天内 75% 的行为集中在每月 3 日前后,night
user_000224,大样本周期_interval_0075,interval,every 13 days,2026-06-30 18:00:00,0.965,最近 6 个活跃日相邻行为间隔约 13 天，CV=0.00,evening
user_000225,大样本周期_daily_0088,daily,every 1 day,2026-07-01 05:00:00,0.9825,最近 7 天内 7 个活跃日平均间隔 1.0 天,night
user_000225,银行卡管理,monthly,day≈21,2026-07-21 09:00:00,0.880533,最近 186 天内 75% 的行为集中在每月 21 日前后,morning
user_000226,大样本周期_daily_0612,daily,every 1 day,2026-07-01 05:00:00,0.9825,最近 7 天内 6 个活跃日平均间隔 1.0 天,night
user_000227,大样本周期_monthly_0134,monthly,day≈15,2026-07-15 12:00:00,0.964182,最近 186 天内 100% 的行为集中在每月 15 日前后,noon
user_000227,查看基金净值,monthly,day≈16,2026-07-16 08:00:00,0.869167,最近 186 天内 75% 的行为集中在每月 16 日前后,noon
user_000229,大样本周期_monthly_0106,monthly,day≈28,2026-07-28 12:00:00,0.97631,最近 186 天内 100% 的行为集中在每月 28 日前后,noon
user_000231,风险评估,monthly,day≈23,2026-07-23 00:00:00,0.898701,最近 186 天内 100% 的行为集中在每月 23 日前后,evening
user_000232,大样本周期_interval_0375,interval,every 11 days,2026-06-30 18:00:00,0.927628,最近 6 个活跃日相邻行为间隔约 11 天，CV=0.06,evening
user_000234,大样本周期_weekly_0937,weekly,weekday=6,2026-07-05 06:00:00,1.0,最近 56 天内 100% 的行为发生在星期 7,morning
user_000235,大样本周期_daily_0712,daily,every 1 day,2026-07-01 05:00:00,0.9825,最近 7 天内 7 个活跃日平均间隔 1.0 天,night
user_000237,大样本周期_daily_0256,daily,every 1 day,2026-07-01 05:00:00,0.9825,最近 7 天内 7 个活跃日平均间隔 1.0 天,night
user_000237,添加银行卡,interval,every 107 days,2026-10-01 05:00:00,0.915225,最近 4 个活跃日相邻行为间隔约 107 天，CV=0.08,evening
user_000238,大样本周期_monthly_0706,monthly,day≈1,2026-07-01 12:00:00,0.9749,最近 186 天内 100% 的行为集中在每月 1 日前后,noon
user_000240,大样本周期_daily_0096,daily,every 1 day,2026-07-01 05:00:00,0.9825,最近 7 天内 7 个活跃日平均间隔 1.0 天,night
user_000241,查银行卡,monthly,day≈12,2026-07-12 01:00:00,0.88,最近 186 天内 75% 的行为集中在每月 12 日前后,afternoon
user_000245,大样本周期_weekly_0573,weekly,weekday=6,2026-07-05 06:00:00,0.70504,最近 56 天内 86% 的行为发生在星期 7,morning
user_000248,大样本周期_daily_0012,daily,every 1 day,2026-07-01 05:00:00,0.9825,最近 7 天内 6 个活跃日平均间隔 1.0 天,night
user_000248,查看黄金行情,monthly,day≈20,2026-07-20 11:00:00,0.759815,最近 186 天内 75% 的行为集中在每月 20 日前后,noon
user_000249,大样本周期_weekly_0457,weekly,weekday=2,2026-07-01 06:00:00,1.0,最近 56 天内 100% 的行为发生在星期 3,morning
user_000250,查银行卡,monthly,day≈14,2026-07-14 03:00:00,0.907038,最近 186 天内 75% 的行为集中在每月 14 日前后,night
user_000250,大样本周期_weekly_0789,weekly,weekday=5,2026-07-04 06:00:00,0.70504,最近 56 天内 86% 的行为发生在星期 6,morning
user_000251,短信验证,interval,every 26 days,2026-07-12 01:00:00,0.929645,最近 4 个活跃日相邻行为间隔约 26 天，CV=0.05,night
user_000252,大样本周期_interval_0539,interval,every 13 days,2026-07-11 18:00:00,0.965,最近 6 个活跃日相邻行为间隔约 13 天，CV=0.00,evening
user_000255,预约网点取号,monthly,day≈13,2026-07-13 03:00:00,0.767105,最近 186 天内 75% 的行为集中在每月 13 日前后,afternoon
user_000257,大样本周期_weekly_0637,weekly,weekday=0,2026-07-06 06:00:00,0.70504,最近 56 天内 86% 的行为发生在星期 1,morning
user_000258,大样本周期_daily_0328,daily,every 1 day,2026-07-01 05:00:00,0.9825,最近 7 天内 7 个活跃日平均间隔 1.0 天,night
user_000258,收款码,monthly,day≈16,2026-07-16 19:00:00,0.774113,最近 186 天内 75% 的行为集中在每月 16 日前后,evening
user_000265,大样本周期_weekly_0517,weekly,weekday=6,2026-07-05 06:00:00,0.70504,最近 56 天内 86% 的行为发生在星期 7,morning
user_000266,大样本周期_interval_0199,interval,every 11 days,2026-07-10 18:00:00,0.940926,最近 6 个活跃日相邻行为间隔约 11 天，CV=0.04,evening
user_000267,大样本周期_interval_0863,interval,every 17 days,2026-07-15 18:00:00,0.949524,最近 6 个活跃日相邻行为间隔约 17 天，CV=0.02,evening
user_000268,大样本周期_monthly_0950,monthly,day≈15,2026-07-15 12:00:00,0.964182,最近 186 天内 100% 的行为集中在每月 15 日前后,noon
user_000269,大样本周期_monthly_0042,monthly,day≈28,2026-07-28 12:00:00,0.97631,最近 186 天内 100% 的行为集中在每月 28 日前后,noon
user_000273,大样本周期_daily_0176,daily,every 1 day,2026-07-01 05:00:00,0.9825,最近 7 天内 7 个活跃日平均间隔 1.0 天,night
user_000274,大样本周期_interval_0235,interval,every 13 days,2026-07-12 18:00:00,0.965,最近 6 个活跃日相邻行为间隔约 13 天，CV=0.00,evening
user_000274,跨行转入,monthly,day≈5,2026-07-05 01:00:00,0.892188,最近 186 天内 75% 的行为集中在每月 5 日前后,night
user_000277,大样本周期_weekly_0753,weekly,weekday=4,2026-07-03 06:00:00,1.0,最近 56 天内 100% 的行为发生在星期 5,morning
user_000278,大样本周期_monthly_0578,monthly,day≈1,2026-07-01 12:00:00,0.9749,最近 186 天内 100% 的行为集中在每月 1 日前后,noon
user_000279,大样本周期_monthly_0538,monthly,day≈28,2026-07-28 12:00:00,0.97631,最近 186 天内 100% 的行为集中在每月 28 日前后,noon
user_000280,预约网点取号,interval,every 56 days,2026-08-20 04:00:00,0.930829,最近 4 个活跃日相邻行为间隔约 56 天，CV=0.05,afternoon
user_000281,大样本周期_interval_0719,interval,every 17 days,2026-07-15 18:00:00,0.949524,最近 6 个活跃日相邻行为间隔约 17 天，CV=0.02,evening
user_000282,查还款结果,daily,every 1 day,2026-07-01 21:00:00,0.765833,最近 7 天内 3 个活跃日平均间隔 1.5 天,evening
user_000283,大样本周期_monthly_0234,monthly,day≈28,2026-07-28 12:00:00,0.97631,最近 186 天内 100% 的行为集中在每月 28 日前后,noon
user_000284,结构性存款,monthly,day≈25,2026-07-25 06:00:00,0.739167,最近 186 天内 75% 的行为集中在每月 25 日前后,noon
user_000286,大样本周期_weekly_0121,weekly,weekday=2,2026-07-01 06:00:00,1.0,最近 56 天内 100% 的行为发生在星期 3,morning
user_000286,查看黄金行情,interval,every 56 days,2026-08-06 06:00:00,0.955523,最近 4 个活跃日相邻行为间隔约 56 天，CV=0.01,noon
user_000287,大样本周期_monthly_0058,monthly,day≈28,2026-07-28 12:00:00,0.97631,最近 186 天内 100% 的行为集中在每月 28 日前后,noon
user_000288,大样本周期_daily_0040,daily,every 1 day,2026-07-01 05:00:00,0.9825,最近 7 天内 7 个活跃日平均间隔 1.0 天,night
user_000288,预约网点取号,daily,every 1 day,2026-07-01 02:00:00,0.765833,最近 7 天内 3 个活跃日平均间隔 1.5 天,night
user_000289,大样本周期_daily_0560,daily,every 1 day,2026-07-01 05:00:00,0.9825,最近 7 天内 7 个活跃日平均间隔 1.0 天,night
user_000292,大样本周期_interval_0111,interval,every 17 days,2026-06-30 18:00:00,0.940818,最近 6 个活跃日相邻行为间隔约 17 天，CV=0.04,evening
user_000294,大样本周期_daily_0928,daily,every 1 day,2026-07-01 05:00:00,0.9825,最近 7 天内 7 个活跃日平均间隔 1.0 天,night
user_000295,大样本周期_interval_0571,interval,every 13 days,2026-07-12 18:00:00,0.965,最近 6 个活跃日相邻行为间隔约 13 天，CV=0.00,evening
user_000297,大样本周期_weekly_0873,weekly,weekday=5,2026-07-04 06:00:00,1.0,最近 56 天内 100% 的行为发生在星期 6,morning
user_000299,大样本周期_monthly_0546,monthly,day≈1,2026-07-01 12:00:00,0.9749,最近 186 天内 100% 的行为集中在每月 1 日前后,noon
user_000300,大样本周期_weekly_0445,weekly,weekday=4,2026-07-03 06:00:00,0.70504,最近 56 天内 86% 的行为发生在星期 5,morning
user_000301,大样本周期_weekly_0933,weekly,weekday=2,2026-07-01 06:00:00,0.70504,最近 56 天内 86% 的行为发生在星期 3,morning
user_000302,大样本周期_weekly_0993,weekly,weekday=6,2026-07-05 06:00:00,1.0,最近 56 天内 100% 的行为发生在星期 7,morning
user_000305,大样本周期_interval_0483,interval,every 9 days,2026-06-30 18:00:00,0.965,最近 6 个活跃日相邻行为间隔约 9 天，CV=0.00,evening
user_000306,大样本周期_monthly_0794,monthly,day≈28,2026-07-28 12:00:00,0.97631,最近 186 天内 100% 的行为集中在每月 28 日前后,noon
user_000308,查账户明细,weekly,weekday=0,2026-07-06 04:00:00,0.70019,最近 56 天内 80% 的行为发生在星期 1,night
user_000310,查交易明细,monthly,day≈24,2026-07-24 03:00:00,0.729916,最近 186 天内 75% 的行为集中在每月 24 日前后,night
user_000311,大样本周期_daily_0636,daily,every 1 day,2026-07-01 05:00:00,0.9825,最近 7 天内 6 个活跃日平均间隔 1.0 天,night
user_000311,查看理财产品,monthly,day≈26,2026-07-26 03:00:00,0.891532,最近 186 天内 75% 的行为集中在每月 26 日前后,night
user_000313,添加银行卡,monthly,day≈19,2026-07-19 05:00:00,0.774113,最近 186 天内 75% 的行为集中在每月 19 日前后,afternoon
user_000313,大样本周期_weekly_0885,weekly,weekday=3,2026-07-02 06:00:00,0.70504,最近 56 天内 86% 的行为发生在星期 4,morning
user_000314,大样本周期_daily_0168,daily,every 1 day,2026-07-01 05:00:00,0.9825,最近 7 天内 7 个活跃日平均间隔 1.0 天,night
